constructor_name,avg_points,total_wins,podium_rate
Marussia,0.01834862385321101,0,0.0
AGS,0.016260162601626018,0,0.0
Zakspeed,0.015037593984962405,0,0.0
Manor Marussia,0.01282051282051282,0,0.0
Elder,0.0,0,0.0
Forti,0.0,0,0.0
Sutton,0.0,0,0.0
Moore,0.0,0,0.0
Tec-Mec,0.0,0,0.0
Cooper-OSCA,0.0,0,0.0
Amon,0.0,0,0.0
Maki,0.0,0,0.0
Lyncar,0.0,0,0.0
Boro,0.0,0,0.0
Coloni,0.0,0,0.0
Christensen,0.0,0,0.0
Cooper-Borgward,0.0,0,0.0
Dunn,0.0,0,0.0
Euro Brun,0.0,0,0.0
Fry,0.0,0,0.0
Token,0.0,0,0.0
Kojima,0.0,0,0.0
JBW,0.0,0,0.0
Trojan,0.0,0,0.0
Lotus-Maserati,0.0,0,0.0
Scirocco,0.0,0,0.0
Fondmetal,0.0,0,0.0
De Tomaso,0.0,0,0.0
Gilby,0.0,0,0.0
De Tomaso-Ferrari,0.0,0,0.0
Derrington,0.0,0,0.0
Lambo,0.0,0,0.0
MF1,0.0,0,0.0
Stebro,0.0,0,0.0
LDS,0.0,0,0.0
Life,0.0,0,0.0
Lotus-Borgward,0.0,0,0.0
Spyker MF1,0.0,0,0.0
Bromme,0.0,0,0.0
OSCA,0.0,0,0.0
March-Alfa Romeo,0.0,0,0.0
Lotus-Pratt &amp; Whitney,0.0,0,0.0
Cisitalia,0.0,0,0.0
Aston Butterworth,0.0,0,0.0
BMW,0.0,0,0.0
Andrea Moda,0.0,0,0.0
Protos,0.0,0,0.0
McLaren-Alfa Romeo,0.0,0,0.0
Bellasi,0.0,0,0.0
HRT,0.0,0,0.0
Virgin,0.0,0,0.0
Lotus,0.0,0,0.0
AFM,0.0,0,0.0
Veritas,0.0,0,0.0
Stevens,0.0,0,0.0
Cooper-ATS,0.0,0,0.0
Alta,0.0,0,0.0
LDS-Climax,0.0,0,0.0
ERA,0.0,0,0.0
Adams,0.0,0,0.0
Olson,0.0,0,0.0
Rebaque,0.0,0,0.0
Wetteroth,0.0,0,0.0
Snowberger,0.0,0,0.0
Spirit,0.0,0,0.0
Langley,0.0,0,0.0
Kauhsen,0.0,0,0.0
Marchese,0.0,0,0.0
Nichels,0.0,0,0.0
Ewing,0.0,0,0.0
Milano,0.0,0,0.0
Shadow-Matra,0.0,0,0.0
Merzario,0.0,0,0.0
Martini,0.0,0,0.0
Rae,0.0,0,0.0
RAM,0.0,0,0.0
BRM-Ford,0.0,0,0.0
McGuire,0.0,0,0.0
Emeryson,0.0,0,0.0
LEC,0.0,0,0.0
Apollon,0.0,0,0.0
Bugatti,0.0,0,0.0
Cooper-Ford,0.0,0,0.0
Caterham,0.0,0,0.0
Simtek,0.0,0,0.0
LDS-Alfa Romeo,0.0,0,0.0
Pankratz,0.0,0,0.0
Klenk,0.0,0,0.0
RE,0.0,0,0.0
Pawl,0.0,0,0.0
Pacific,0.0,0,0.0
Arzani-Volpini,0.0,0,0.0
ENB,0.0,0,0.0
Cooper-Ferrari,0.0,0,0.0
Shannon,0.0,0,0.0
De Tomaso-Osca,0.0,0,0.0
Cooper-Alfa Romeo,0.0,0,0.0
Ferguson,0.0,0,0.0
MBM,0.0,0,0.0
De Tomaso-Alfa Romeo,0.0,0,0.0
EMW,0.0,0,0.0
Scarab,0.0,0,0.0
Meskowski,0.0,0,0.0
Turner,0.0,0,0.0
Connew,0.0,0,0.0
Hall,0.0,0,0.0
Del Roy,0.0,0,0.0
Behra-Porsche,0.0,0,0.0
Politoys,0.0,0,0.0
